"Municipalidad","Alianza","Bancas","Colores","Ediles"
"Adolfo Alsina","UxP",4,"mediumaquamarine","UxP (4)"
"Adolfo Alsina","Juntos",5,"darkorange","Juntos (5)"
"Adolfo Alsina","LLA",2,"purple","LLA (2)"
"Adolfo Alsina","UCR DxS",1,"hotpink","UCR DxS (1)"
"Adolfo Gonzales Chaves","UxP",6,"mediumaquamarine","UxP (6)"
"Adolfo Gonzales Chaves","Juntos",6,"darkorange","Juntos (6)"
"Alberti","UxP",6,"mediumaquamarine","UxP (6)"
"Alberti","Juntos",6,"darkorange","Juntos (6)"
"Almirante Brown","UxP",16,"mediumaquamarine","UxP (16)"
"Almirante Brown","LLA",4,"purple","LLA (4)"
"Almirante Brown","UCR DxS",1,"hotpink","UCR DxS (1)"
"Almirante Brown","PRO",3,"yellow","PRO (3)"
"Arrecifes","UxP",5,"mediumaquamarine","UxP (5)"
"Arrecifes","PRO",3,"yellow","PRO (3)"
"Arrecifes","PS",1,"mistyrose","PS (1)"
"Arrecifes","UCR",5,"red","UCR (5)"
"Avellaneda","UxP",14,"mediumaquamarine","UxP (14)"
"Avellaneda","Juntos",5,"darkorange","Juntos (5)"
"Avellaneda","PRO",2,"yellow","PRO (2)"
"Avellaneda","Peronismo no UxP",1,"dimgrey","Peronismo no UxP (1)"
"Avellaneda","URyF",1,"steelblue","URyF (1)"
"Avellaneda","LLA Disidente",1,"chocolate","LLA Disidente (1)"
"Ayacucho","UxP",5,"mediumaquamarine","UxP (5)"
"Ayacucho","Juntos",9,"darkorange","Juntos (9)"
"Azul","UxP",5,"mediumaquamarine","UxP (5)"
"Azul","Juntos",1,"darkorange","Juntos (1)"
"Azul","LLA",3,"purple","LLA (3)"
"Azul","UCR DxS",1,"hotpink","UCR DxS (1)"
"Azul","UCR",2,"red","UCR (2)"
"Azul","Peronismo no UxP",1,"dimgrey","Peronismo no UxP (1)"
"Azul","Vecinal",5,"black","Vecinal (5)"
"Bahía Blanca","UxP",8,"mediumaquamarine","UxP (8)"
"Bahía Blanca","Juntos",8,"darkorange","Juntos (8)"
"Bahía Blanca","LLA",2,"purple","LLA (2)"
"Bahía Blanca","URyF",1,"steelblue","URyF (1)"
"Bahía Blanca","LLA Disidente",5,"chocolate","LLA Disidente (5)"
"Balcarce","UxP",5,"mediumaquamarine","UxP (5)"
"Balcarce","Juntos",11,"darkorange","Juntos (11)"
"Balcarce","LLA",2,"purple","LLA (2)"
"Baradero","UxP",7,"mediumaquamarine","UxP (7)"
"Baradero","Juntos",5,"darkorange","Juntos (5)"
"Baradero","LLA",2,"purple","LLA (2)"
"Baradero","PS",1,"mistyrose","PS (1)"
"Baradero","UxP Disidente",1,"navy","UxP Disidente (1)"
"Benito Juárez","UxP",7,"mediumaquamarine","UxP (7)"
"Benito Juárez","Juntos",4,"darkorange","Juntos (4)"
"Benito Juárez","Vecinal",3,"black","Vecinal (3)"
"Berazategui","UxP",15,"mediumaquamarine","UxP (15)"
"Berazategui","Juntos",6,"darkorange","Juntos (6)"
"Berazategui","LLA",1,"purple","LLA (1)"
"Berazategui","URyF",2,"steelblue","URyF (2)"
"Berisso","UxP",11,"mediumaquamarine","UxP (11)"
"Berisso","Juntos",6,"darkorange","Juntos (6)"
"Berisso","LLA",1,"purple","LLA (1)"
"Berisso","URyF",1,"steelblue","URyF (1)"
"Berisso","Vecinal",1,"black","Vecinal (1)"
"Bolívar","UxP",8,"mediumaquamarine","UxP (8)"
"Bolívar","Juntos",6,"darkorange","Juntos (6)"
"Bolívar","LLA",1,"purple","LLA (1)"
"Bolívar","PRO",1,"yellow","PRO (1)"
"Bragado","UxP",7,"mediumaquamarine","UxP (7)"
"Bragado","LLA",2,"purple","LLA (2)"
"Bragado","PRO",2,"yellow","PRO (2)"
"Bragado","UCR",1,"red","UCR (1)"
"Bragado","Vecinal",6,"black","Vecinal (6)"
"Brandsen","UxP",5,"mediumaquamarine","UxP (5)"
"Brandsen","Juntos",7,"darkorange","Juntos (7)"
"Brandsen","LLA",1,"purple","LLA (1)"
"Brandsen","UxP Disidente",1,"navy","UxP Disidente (1)"
"Campana","UxP",6,"mediumaquamarine","UxP (6)"
"Campana","Juntos",13,"darkorange","Juntos (13)"
"Campana","LLA",1,"purple","LLA (1)"
"Cañuelas","UxP",9,"mediumaquamarine","UxP (9)"
"Cañuelas","LLA",2,"purple","LLA (2)"
"Cañuelas","PRO",3,"yellow","PRO (3)"
"Cañuelas","UCR",3,"red","UCR (3)"
"Cañuelas","PRO PB",1,"darkgoldenrod","PRO PB (1)"
"Capitán Sarmiento","UxP",2,"mediumaquamarine","UxP (2)"
"Capitán Sarmiento","Juntos",9,"darkorange","Juntos (9)"
"Capitán Sarmiento","LLA",1,"purple","LLA (1)"
"Carlos Casares","UxP",7,"mediumaquamarine","UxP (7)"
"Carlos Casares","Juntos",2,"darkorange","Juntos (2)"
"Carlos Casares","LLA",1,"purple","LLA (1)"
"Carlos Casares","LLA Disidente",1,"chocolate","LLA Disidente (1)"
"Carlos Casares","Vecinal",2,"black","Vecinal (2)"
"Carlos Casares","UCR Disidente",1,"darkred","UCR Disidente (1)"
"Carlos Tejedor","UxP",7,"mediumaquamarine","UxP (7)"
"Carlos Tejedor","Juntos",5,"darkorange","Juntos (5)"
"Carmen de Areco","UxP",6,"mediumaquamarine","UxP (6)"
"Carmen de Areco","Juntos",4,"darkorange","Juntos (4)"
"Carmen de Areco","Vecinal",2,"black","Vecinal (2)"
"Castelli","UxP",6,"mediumaquamarine","UxP (6)"
"Castelli","Juntos",3,"darkorange","Juntos (3)"
"Castelli","UCR",1,"red","UCR (1)"
"Chacabuco","UxP",8,"mediumaquamarine","UxP (8)"
"Chacabuco","Juntos",5,"darkorange","Juntos (5)"
"Chacabuco","LLA",2,"purple","LLA (2)"
"Chacabuco","PRO",3,"yellow","PRO (3)"
"Chascomús","UxP",4,"mediumaquamarine","UxP (4)"
"Chascomús","Juntos",4,"darkorange","Juntos (4)"
"Chascomús","UCR",4,"red","UCR (4)"
"Chascomús","Vecinal",3,"black","Vecinal (3)"
"Chascomús","GEN",1,"deeppink","GEN (1)"
"Chivilcoy","UxP",4,"mediumaquamarine","UxP (4)"
"Chivilcoy","Juntos",1,"darkorange","Juntos (1)"
"Chivilcoy","UCR",1,"red","UCR (1)"
"Chivilcoy","Peronismo no UxP",5,"dimgrey","Peronismo no UxP (5)"
"Chivilcoy","Vecinal",6,"black","Vecinal (6)"
"Chivilcoy","UxP Disidente",1,"navy","UxP Disidente (1)"
"Colón","UxP",7,"mediumaquamarine","UxP (7)"
"Colón","Juntos",6,"darkorange","Juntos (6)"
"Colón","UCR Disidente",1,"darkred","UCR Disidente (1)"
"Coronel Rosales","UxP",4,"mediumaquamarine","UxP (4)"
"Coronel Rosales","Juntos",4,"darkorange","Juntos (4)"
"Coronel Rosales","LLA",4,"purple","LLA (4)"
"Coronel Rosales","PRO",1,"yellow","PRO (1)"
"Coronel Rosales","UCR",2,"red","UCR (2)"
"Coronel Rosales","Vecinal",3,"black","Vecinal (3)"
"Coronel Dorrego","UxP",6,"mediumaquamarine","UxP (6)"
"Coronel Dorrego","Juntos",6,"darkorange","Juntos (6)"
"Coronel Pringles","UxP",3,"mediumaquamarine","UxP (3)"
"Coronel Pringles","Juntos",8,"darkorange","Juntos (8)"
"Coronel Pringles","LLA",1,"purple","LLA (1)"
"Coronel Pringles","FIT",2,"red3","FIT (2)"
"Coronel Suárez","UxP",2,"mediumaquamarine","UxP (2)"
"Coronel Suárez","Juntos",8,"darkorange","Juntos (8)"
"Coronel Suárez","LLA",1,"purple","LLA (1)"
"Coronel Suárez","Vecinal",5,"black","Vecinal (5)"
"Daireaux","UxP",6,"mediumaquamarine","UxP (6)"
"Daireaux","Juntos",3,"darkorange","Juntos (3)"
"Daireaux","Vecinal",3,"black","Vecinal (3)"
"Dolores","UxP",6,"mediumaquamarine","UxP (6)"
"Dolores","Juntos",6,"darkorange","Juntos (6)"
"Dolores","Vecinal",2,"black","Vecinal (2)"
"Ensenada","UxP",12,"mediumaquamarine","UxP (12)"
"Ensenada","LLA",2,"purple","LLA (2)"
"Ensenada","PRO",1,"yellow","PRO (1)"
"Ensenada","UCR",1,"red","UCR (1)"
"Ensenada","Vecinal",2,"black","Vecinal (2)"
"Escobar","UxP",13,"mediumaquamarine","UxP (13)"
"Escobar","Juntos",3,"darkorange","Juntos (3)"
"Escobar","LLA",5,"purple","LLA (5)"
"Escobar","Vecinal",2,"black","Vecinal (2)"
"Escobar","Unión Liberal",1,"darkgreen","Unión Liberal (1)"
"Esteban Echeverría","UxP",14,"mediumaquamarine","UxP (14)"
"Esteban Echeverría","LLA",3,"purple","LLA (3)"
"Esteban Echeverría","UCR DxS",2,"hotpink","UCR DxS (2)"
"Esteban Echeverría","PRO",2,"yellow","PRO (2)"
"Esteban Echeverría","URyF",2,"steelblue","URyF (2)"
"Esteban Echeverría","Vecinal",1,"black","Vecinal (1)"
"Exaltación de la Cruz","UxP",6,"mediumaquamarine","UxP (6)"
"Exaltación de la Cruz","Juntos",6,"darkorange","Juntos (6)"
"Exaltación de la Cruz","LLA",2,"purple","LLA (2)"
"Ezeiza","UxP",13,"mediumaquamarine","UxP (13)"
"Ezeiza","LLA",2,"purple","LLA (2)"
"Ezeiza","PRO",3,"yellow","PRO (3)"
"Ezeiza","URyF",1,"steelblue","URyF (1)"
"Ezeiza","PRO Disidente",1,"limegreen","PRO Disidente (1)"
"Florencio Varela","UxP",16,"mediumaquamarine","UxP (16)"
"Florencio Varela","Juntos",5,"darkorange","Juntos (5)"
"Florencio Varela","LLA",3,"purple","LLA (3)"
"Florentino Ameghino","UxP",4,"mediumaquamarine","UxP (4)"
"Florentino Ameghino","Juntos",6,"darkorange","Juntos (6)"
"General Alvarado","UxP",7,"mediumaquamarine","UxP (7)"
"General Alvarado","Juntos",4,"darkorange","Juntos (4)"
"General Alvarado","LLA",1,"purple","LLA (1)"
"General Alvarado","PRO",1,"yellow","PRO (1)"
"General Alvarado","UCR",3,"red","UCR (3)"
"General Alvear","UxP",6,"mediumaquamarine","UxP (6)"
"General Alvear","Juntos",6,"darkorange","Juntos (6)"
"General Arenales","UxP",5,"mediumaquamarine","UxP (5)"
"General Arenales","Juntos",6,"darkorange","Juntos (6)"
"General Arenales","PRO PB",1,"darkgoldenrod","PRO PB (1)"
"General Belgrano","UxP",5,"mediumaquamarine","UxP (5)"
"General Belgrano","Juntos",7,"darkorange","Juntos (7)"
"General Guido","UxP",3,"mediumaquamarine","UxP (3)"
"General Guido","Juntos",3,"darkorange","Juntos (3)"
"General Juan Madariaga","UxP",4,"mediumaquamarine","UxP (4)"
"General Juan Madariaga","Juntos",8,"darkorange","Juntos (8)"
"General La Madrid","UxP",5,"mediumaquamarine","UxP (5)"
"General La Madrid","Juntos",7,"darkorange","Juntos (7)"
"General Las Heras","UxP",7,"mediumaquamarine","UxP (7)"
"General Las Heras","Juntos",5,"darkorange","Juntos (5)"
"General Lavalle","UxP",2,"mediumaquamarine","UxP (2)"
"General Lavalle","Juntos",4,"darkorange","Juntos (4)"
"General Paz","UxP",6,"mediumaquamarine","UxP (6)"
"General Paz","Juntos",4,"darkorange","Juntos (4)"
"General Paz","LLA",1,"purple","LLA (1)"
"General Paz","UCR",1,"red","UCR (1)"
"General Pinto","UxP",6,"mediumaquamarine","UxP (6)"
"General Pinto","Juntos",6,"darkorange","Juntos (6)"
"General Pueyrredón","UxP",7,"mediumaquamarine","UxP (7)"
"General Pueyrredón","Juntos",6,"darkorange","Juntos (6)"
"General Pueyrredón","LLA",2,"purple","LLA (2)"
"General Pueyrredón","UCR",5,"red","UCR (5)"
"General Pueyrredón","Vecinal",2,"black","Vecinal (2)"
"General Pueyrredón","CC ARI",2,"tomato","CC ARI (2)"
"General Rodríguez","UxP",9,"mediumaquamarine","UxP (9)"
"General Rodríguez","Juntos",8,"darkorange","Juntos (8)"
"General Rodríguez","LLA",2,"purple","LLA (2)"
"General Rodríguez","PRO Disidente",1,"limegreen","PRO Disidente (1)"
"General San Martín","UxP",13,"mediumaquamarine","UxP (13)"
"General San Martín","LLA",1,"purple","LLA (1)"
"General San Martín","PRO",2,"yellow","PRO (2)"
"General San Martín","UCR",1,"red","UCR (1)"
"General San Martín","Peronismo no UxP",1,"dimgrey","Peronismo no UxP (1)"
"General San Martín","URyF",1,"steelblue","URyF (1)"
"General San Martín","LLA Disidente",1,"chocolate","LLA Disidente (1)"
"General San Martín","PRO Disidente",3,"limegreen","PRO Disidente (3)"
"General San Martín","CC ARI",1,"tomato","CC ARI (1)"
"General Viamonte","UxP",6,"mediumaquamarine","UxP (6)"
"General Viamonte","Juntos",6,"darkorange","Juntos (6)"
"General Villegas","UxP",5,"mediumaquamarine","UxP (5)"
"General Villegas","Juntos",5,"darkorange","Juntos (5)"
"General Villegas","LLA",4,"purple","LLA (4)"
"General Villegas","UCR",1,"red","UCR (1)"
"General Villegas","PRO Disidente",1,"limegreen","PRO Disidente (1)"
"Guaminí","UxP",5,"mediumaquamarine","UxP (5)"
"Guaminí","Juntos",7,"darkorange","Juntos (7)"
"Hipólito Yrigoyen","UxP",6,"mediumaquamarine","UxP (6)"
"Hipólito Yrigoyen","Juntos",4,"darkorange","Juntos (4)"
"Hurlingham","UxP",10,"mediumaquamarine","UxP (10)"
"Hurlingham","Juntos",7,"darkorange","Juntos (7)"
"Hurlingham","Peronismo no UxP",1,"dimgrey","Peronismo no UxP (1)"
"Hurlingham","LLA Disidente",2,"chocolate","LLA Disidente (2)"
"Ituzaingó","UxP",9,"mediumaquamarine","UxP (9)"
"Ituzaingó","Juntos",5,"darkorange","Juntos (5)"
"Ituzaingó","LLA",3,"purple","LLA (3)"
"Ituzaingó","UCR DxS",1,"hotpink","UCR DxS (1)"
"Ituzaingó","PRO",1,"yellow","PRO (1)"
"Ituzaingó","Vecinal",1,"black","Vecinal (1)"
"José C. Paz","UxP",13,"mediumaquamarine","UxP (13)"
"José C. Paz","Juntos",5,"darkorange","Juntos (5)"
"José C. Paz","LLA",3,"purple","LLA (3)"
"José C. Paz","FIT",2,"red3","FIT (2)"
"José C. Paz","Juntos Disidente",1,"orangered","Juntos Disidente (1)"
"Junín","UxP",8,"mediumaquamarine","UxP (8)"
"Junín","Juntos",10,"darkorange","Juntos (10)"
"Junín","LLA",2,"purple","LLA (2)"
"La Costa","UxP",7,"mediumaquamarine","UxP (7)"
"La Costa","Juntos",9,"darkorange","Juntos (9)"
"La Costa","LLA",2,"purple","LLA (2)"
"La Matanza","UxP",13,"mediumaquamarine","UxP (13)"
"La Matanza","Juntos",3,"darkorange","Juntos (3)"
"La Matanza","LLA",3,"purple","LLA (3)"
"La Matanza","PRO",2,"yellow","PRO (2)"
"La Matanza","URyF",1,"steelblue","URyF (1)"
"La Matanza","FIT",2,"red3","FIT (2)"
"La Plata","UxP",10,"mediumaquamarine","UxP (10)"
"La Plata","Juntos",5,"darkorange","Juntos (5)"
"La Plata","LLA",4,"purple","LLA (4)"
"La Plata","UCR DxS",4,"hotpink","UCR DxS (4)"
"La Plata","PRO Disidente",1,"limegreen","PRO Disidente (1)"
"Lanús","UxP",10,"mediumaquamarine","UxP (10)"
"Lanús","Juntos",5,"darkorange","Juntos (5)"
"Lanús","LLA",1,"purple","LLA (1)"
"Lanús","UCR DxS",2,"hotpink","UCR DxS (2)"
"Lanús","Peronismo no UxP",1,"dimgrey","Peronismo no UxP (1)"
"Lanús","URyF",1,"steelblue","URyF (1)"
"Lanús","LLA Disidente",3,"chocolate","LLA Disidente (3)"
"Lanús","UxP Disidente",1,"navy","UxP Disidente (1)"
"Laprida","UxP",6,"mediumaquamarine","UxP (6)"
"Laprida","Juntos",6,"darkorange","Juntos (6)"
"Las Flores","UxP",8,"mediumaquamarine","UxP (8)"
"Las Flores","Juntos",5,"darkorange","Juntos (5)"
